Title,Price,Description
Vintage Wooden Rocking Chair,80,Beautiful vintage rocking chair in excellent condition. Perfect for a nursery or living room.
Women's Leather Jacket (Size M),120,Stylish black leather jacket, gently used. Size Medium.
iPhone 13 Pro (256GB, Unlocked),850,Excellent condition iPhone 13 Pro with 256GB storage. Unlocked for any carrier.
Samsung 65" 4K Smart TV,600,Immerse yourself in stunning 4K resolution with this Samsung Smart TV.
Gaming PC (High-End),1500,Powerful gaming PC with top-of-the-line components. Ready for any game.
Antique Dining Table with 6 Chairs,500,Elegant antique dining table with 6 matching chairs. Some minor wear and tear.
Hand-Knitted Wool Scarf,30,Cozy and warm hand-knitted wool scarf. Perfect for winter.
Electric Guitar with Amplifier,200,Beginner-friendly electric guitar with a small amplifier. Great for learning.
Mountain Bike (Adult, 26" Wheels),350,Used mountain bike in good condition. 26-inch wheels, perfect for off-road adventures.
Stand Mixer (KitchenAid),250,Make baking a breeze with this KitchenAid stand mixer. Includes various attachments.
Coffee Table with Storage,100,Modern coffee table with hidden storage compartments. Perfect for small spaces.
Designer Handbag (Used),400,Authentic designer handbag in good condition. Minor signs of wear.
Set of 4 Wine Glasses,20,Elegant wine glasses, perfect for entertaining guests.
Children's Bicycle (16" Wheels),80,Kids' bike with 16-inch wheels. Suitable for ages 4-7.
Board Games Bundle,40,Collection of popular board games for family fun.
Sofa Bed (Queen Size),300,Comfortable sofa that converts into a queen-size bed. Perfect for guests.
Area Rug (8x10 ft),150,Stylish area rug to enhance your living space. 8x10 feet.
Bookshelf (5-Shelf),70,Sturdy bookshelf with 5 shelves. Great for organizing your books and decorations.
Desk Lamp (Adjustable),25,Flexible desk lamp with adjustable brightness. Perfect for studying or working.
Women's Winter Boots (Size 8),60,Warm and stylish winter boots. Size 8.
Men's Dress Shoes (Size 10),50,Classic men's dress shoes in excellent condition. Size 10.
Baby Stroller (Travel System),180,Convenient travel system with a stroller and car seat.
Playstation 5 Console,450,Experience the next generation of gaming with the Playstation 5 console.
Nintendo Switch (OLED Model),300,Enjoy gaming on the go with the Nintendo Switch OLED model.
Portable Bluetooth Speaker,50,Enjoy music on the go with this portable Bluetooth speaker.
Digital Camera (DSLR),400,Capture stunning photos with this DSLR camera.
Tent (4-Person),120,Spacious 4-person tent, perfect for camping trips.
Sleeping Bag (Adult),60,Stay warm and comfortable in this adult sleeping bag.
Camping Backpack,80,Durable backpack designed for camping and hiking.
Yoga Mat,20,Comfortable and non-slip yoga mat for your practice.
Dumbbell Set (Adjustable),100,Get in shape with this adjustable dumbbell set.
Treadmill (Folding),300,Stay fit with this folding treadmill.
Basketball Hoop,150,Practice your skills with this basketball hoop.
Soccer Ball,15,Official size 5 soccer ball.
Tennis Racket,40,Lightweight and powerful tennis racket.
Golf Clubs (Set),200,Complete set of golf clubs for beginners.
Ski Goggles,30,Protect your eyes on the slopes with these ski goggles.
Snowboard,150,Hit the slopes with this snowboard.
Skateboard,60,Cruiser skateboard for beginners.
Scooter (Kids),40,Fun and colorful scooter for kids.
Drone with Camera,300,Capture aerial footage with this drone.
Headphones (Noise-Canceling),100,Immerse yourself in music with these noise-canceling headphones.
Smartwatch,150,Track your fitness and stay connected with this smartwatch.
Tablet (10-inch),200,Enjoy entertainment on the go with this 10-inch tablet.
Laptop (15-inch),500,Powerful laptop for work and play.
Wireless Mouse,15,Ergonomic wireless mouse for comfortable use.
Keyboard (Backlit),40,Type with ease in low light with this backlit keyboard.
External Hard Drive (1TB),50,Store all your files with this 1TB external hard drive.
Microwave Oven,80,Quickly heat up your food with this microwave oven.
Toaster,20,Start your day with perfectly toasted bread.
Blender,40,Make smoothies and shakes with this blender.
Food Processor,60,Chop, slice, and dice with ease using this food processor.
Electric Kettle,30,Boil water quickly with this electric kettle.
Coffee Maker,50,Brew a delicious cup of coffee with this coffee maker.
Slow Cooker,40,Cook meals effortlessly with this slow cooker.
Rice Cooker,30,Make perfect rice every time with this rice cooker.
Air Fryer,80,Enjoy crispy fried food with less oil using this air fryer.
Instant Pot,100,Versatile multi-cooker that can pressure cook, slow cook, and more.
Cutting Board (Set),20,Set of durable cutting boards for your kitchen.
Kitchen Knives (Set),50,Essential set of kitchen knives for all your cooking needs.
Mixing Bowls (Set),20,Set of mixing bowls in various sizes.
Bakeware Set,30,Complete bakeware set for baking cakes, cookies, and more.
Cookware Set,100,Durable cookware set for everyday cooking.
Dinnerware Set,50,Elegant dinnerware set for special occasions.
Flatware Set,30,Complete flatware set for everyday use.
Serving Platter,20,Stylish serving platter for entertaining guests.
Wine Decanter,30,Enhance the flavor of your wine with this decanter.
Champagne Flutes (Set),20,Celebrate special moments with these champagne flutes.
Bar Tool Set,40,Essential tools for mixing cocktails.
Ice Bucket,20,Keep your drinks cold with this ice bucket.
Cocktail Shaker,15,Shake up your favorite cocktails with this shaker.
Wine Rack,30,Store your wine collection in this stylish wine rack.
Bedside Lamp,25,Stylish bedside lamp for your bedroom.
Floor Lamp,50,Add ambient lighting to your living room with this floor lamp.
Ceiling Fan,100,Keep your home cool with this ceiling fan.
Curtains (Pair),40,Enhance your windows with these stylish curtains.
Throw Pillows (Set),30,Add comfort and style to your sofa with these throw pillows.
Wall Art,20,Decorate your walls with this beautiful wall art.
Mirror (Full-Length),50,Check your outfit with this full-length mirror.
Area Rug (5x7 ft),80,Add warmth and style to your floor with this area rug.
Vase,15,Display fresh flowers in this elegant vase.
Candles (Set),20,Create a relaxing atmosphere with these scented candles.
Picture Frames (Set),15,Display your favorite memories in these picture frames.
Storage Bins (Set),25,Organize your belongings with these storage bins.
Laundry Basket,20,Carry your laundry with ease using this laundry basket.
Ironing Board,30,Iron your clothes smoothly with this ironing board.
Clothes Hangers (Set),10,Keep your clothes organized with these hangers.
Towel Set,30,Soft and absorbent towel set for your bathroom.
Bath Mat,15,Step onto a soft and comfortable bath mat.
Shower Curtain,20,Prevent water from splashing out with this shower curtain.
Toilet Brush,10,Keep your bathroom clean with this toilet brush.
Trash Can,15,Dispose of waste neatly with this trash can.
Cleaning Supplies (Set),20,Essential cleaning supplies for your home.
Vacuum Cleaner,100,Clean your floors effectively with this vacuum cleaner.
Mop and Bucket,25,Mop your floors with ease using this mop and bucket.
Broom and Dustpan,15,Sweep up dirt and debris with this broom and dustpan.
